activation,hidden_layer_sizes,max_iter,solver,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
identity,"(5,)",1000,lbgfs,NearMiss,0.677936507936508,0.7344444444444443,0.6214285714285714,0.37857142857142856,0.26555555555555554,0.5911111111111113,0.4785714285714286,0.26666666666666666,0.13999999999999999,0.13999999999999999
identity,"(5,)",1000,adam,EditedNearestNeighbours,0.7170634920634921,0.7522222222222222,0.6819047619047618,0.3180952380952381,0.2477777777777778,0.5988888888888888,0.5519047619047619,0.2080952380952381,0.14222222222222222,0.14222222222222222
identity,"(5,)",1000,sgd,ClusterCentroids,0.6973015873015873,0.6988888888888889,0.6957142857142857,0.3042857142857143,0.3011111111111111,0.4444444444444445,0.4271428571428571,0.11666666666666665,0.11444444444444442,0.11444444444444442
identity,"(5,)",1000,lbgfs,NeighbourhoodCleaningRule,0.7149206349206348,0.708888888888889,0.7209523809523809,0.27904761904761904,0.2911111111111111,0.5566666666666666,0.5933333333333334,0.16714285714285718,0.17777777777777778,0.17777777777777778
identity,"(5,)",1000,lbgfs,OneSidedSelection,0.6826984126984127,0.5311111111111111,0.8342857142857144,0.1657142857142857,0.4688888888888889,0.3277777777777778,0.6904761904761906,0.05904761904761905,0.2688888888888889,0.2688888888888889
identity,"(5,)",1000,lbgfs,RandomUnderSampler,0.7077777777777777,0.7288888888888888,0.6866666666666666,0.3133333333333333,0.2711111111111111,0.5344444444444445,0.5033333333333333,0.1852380952380952,0.1411111111111111,0.1411111111111111
identity,"(5,)",1000,lbgfs,TomekLinks,0.6816666666666668,0.5299999999999999,0.8333333333333334,0.16666666666666666,0.47000000000000003,0.3233333333333333,0.6933333333333334,0.06095238095238095,0.2688888888888889,0.2688888888888889
identity,"(5,)",1000,lbgfs,ADASYN,0.7157142857142856,0.7066666666666667,0.7247619047619048,0.2752380952380952,0.29333333333333333,0.4477777777777778,0.5128571428571428,0.13047619047619044,0.12555555555555556,0.12555555555555556
identity,"(5,)",1000,lbgfs,RandomOverSampler,0.7064285714285714,0.6933333333333334,0.7195238095238095,0.2804761904761905,0.30666666666666664,0.48,0.5366666666666667,0.13999999999999999,0.15222222222222223,0.15222222222222223
identity,"(50, 50)",1000,lbgfs,InstanceHardnessThreshold,0.6778571428571428,0.87,0.48571428571428577,0.5142857142857142,0.13,0.8477777777777779,0.44476190476190475,0.46571428571428575,0.10555555555555556,0.10555555555555556
identity,"(5,)",1000,sgd,EditedNearestNeighbours,0.712936507936508,0.7377777777777778,0.688095238095238,0.3119047619047619,0.2622222222222222,0.5522222222222223,0.5128571428571428,0.18000000000000002,0.13777777777777778,0.13777777777777778
identity,"(5,)",1000,lbgfs,SMOTE,0.7072222222222223,0.6877777777777778,0.7266666666666667,0.2733333333333334,0.31222222222222223,0.49111111111111105,0.5623809523809524,0.14666666666666664,0.17,0.17
identity,"(5,)",1000,lbgfs,SMOTEENN,0.6942063492063492,0.5955555555555555,0.792857142857143,0.20714285714285716,0.40444444444444444,0.41222222222222227,0.6580952380952381,0.12333333333333334,0.2555555555555556,0.2555555555555556
