C,cache_size,class_weight,decision_function_shape,kernel,max_iter,Data balancer,Matthews correlation coefficient,Cohen Kappa Score,Balanced Accuracy,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff,
0.01,2048,None,ovr,linear,10000,SMOTEENN,0.399376621,0.375207911,0.669498681,0.426751503,0.912245859,0.087754141,0.573248497,0,0,0,0,0,54.1931378
0.01,2048,balanced,ovr,linear,10000,SMOTEENN,0.463728852,0.460188744,0.721670898,0.581910952,0.861430843,0.138569157,0.418089048,0,0,0,0,0,67.07236465
0.01,2048,None,ovr,linear,10000,SMOTETomek,0.439987231,0.439404649,0.716278343,0.605316,0.827240686,0.172759314,0.394684,0,0,0,0,0,114.104871
3.690526316,2048,None,ovr,linear,10000,None,0.476992895,0.467742553,0.74746172,0.756262931,0.738660509,0.261339491,0.243737069,0,0,0,0,0,46.97310774
0.01,2048,balanced,ovr,linear,10000,SMOTETomek,0.442632172,0.442351884,0.718823101,0.615803351,0.821842851,0.178157149,0.384196649,0,0,0,0,0,116.8805433
3.690526316,2048,balanced,ovr,linear,10000,None,0.442633482,0.405685948,0.731456082,0.853102017,0.609810146,0.390189854,0.146897983,0,0,0,0,0,50.54914284
2.113157895,2048,None,ovr,linear,10000,ClusterCentroids,0.439311518,0.390975793,0.727865192,0.882958284,0.5727721,0.4272279,0.117041716,0,0,0,0,0,20.13290064
2.113157895,2048,balanced,ovr,linear,10000,ClusterCentroids,0.439311518,0.390975793,0.727865192,0.882958284,0.5727721,0.4272279,0.117041716,0,0,0,0,0,20.2882611
2.638947368,2048,None,ovr,linear,10000,ClusterCentroids,0.4207697,0.367694025,0.716591273,0.887195215,0.545987332,0.454012668,0.112804785,0,0,0,0,0,19.31941525
2.638947368,2048,balanced,ovr,linear,10000,ClusterCentroids,0.4207697,0.367694025,0.716591273,0.887195215,0.545987332,0.454012668,0.112804785,0,0,0,0,0,20.63476324
3.164736842,2048,None,ovr,linear,10000,ClusterCentroids,0.393685102,0.331172924,0.69915211,0.898891025,0.499413195,0.500586805,0.101108975,0,0,0,0,0,20.19740566
2.113157895,2048,None,ovr,linear,10000,EditedNearestNeighbours,0.478290221,0.444782906,0.75117321,0.860986908,0.641359511,0.358640489,0.139013092,0,0,0,0,0,14.57026394
2.113157895,2048,balanced,ovr,linear,10000,EditedNearestNeighbours,0.480756302,0.449181843,0.752655301,0.856543685,0.648766918,0.351233082,0.143456315,0,0,0,0,0,14.75471497
2.638947368,2048,None,ovr,linear,10000,EditedNearestNeighbours,0.477596648,0.444389032,0.750831026,0.859774787,0.641887265,0.358112735,0.140225213,0,0,0,0,0,13.73842541
2.638947368,2048,balanced,ovr,linear,10000,EditedNearestNeighbours,0.481922036,0.450541886,0.753289643,0.856541854,0.650037432,0.349962568,0.143458146,0,0,0,0,0,17.25741291
3.164736842,2048,None,ovr,linear,10000,EditedNearestNeighbours,0.482181257,0.448720189,0.753242407,0.862797766,0.643687048,0.356312952,0.137202234,0,0,0,0,0,15.67430838
3.164736842,2048,balanced,ovr,linear,10000,ClusterCentroids,0.393685102,0.331172924,0.69915211,0.898891025,0.499413195,0.500586805,0.101108975,0,0,0,0,0,19.71029162
3.164736842,2048,balanced,ovr,linear,10000,EditedNearestNeighbours,0.482893627,0.451473911,0.753802872,0.857144863,0.650460881,0.349539119,0.142855137,0,0,0,0,0,12.28555433
3.690526316,2048,None,ovr,linear,10000,ClusterCentroids,0.368245353,0.297207797,0.682061374,0.909599316,0.454523431,0.545476569,0.090400684,0,0,0,0,0,18.96008507
3.690526316,2048,None,ovr,linear,10000,EditedNearestNeighbours,0.480084412,0.444938709,0.751891164,0.866231499,0.637550828,0.362449172,0.133768501,0,0,0,0,0,11.98123376
3.690526316,2048,balanced,ovr,linear,10000,ClusterCentroids,0.368245353,0.297207797,0.682061374,0.909599316,0.454523431,0.545476569,0.090400684,0,0,0,0,0,18.20955348
3.690526316,2048,balanced,ovr,linear,10000,EditedNearestNeighbours,0.479621268,0.448019,0.752035799,0.855936403,0.648135194,0.351864806,0.144063597,0,0,0,0,0,11.770485
2.113157895,2048,balanced,ovr,linear,10000,InstanceHardnessThreshold,0.468042538,0.431014707,0.745327087,0.866227227,0.624426948,0.375573052,0.133772773,0,0,0,0,0,11.46660145
2.113157895,2048,None,ovr,linear,10000,InstanceHardnessThreshold,0.468130078,0.431189371,0.745384586,0.866024596,0.624744577,0.375255423,0.133975404,0,0,0,0,0,11.02913936
2.638947368,2048,balanced,ovr,linear,10000,InstanceHardnessThreshold,0.469120599,0.431984224,0.7458885,0.867032256,0.624744745,0.375255255,0.132967744,0,0,0,0,0,10.51414736
2.638947368,2048,None,ovr,linear,10000,InstanceHardnessThreshold,0.46834487,0.431221818,0.745475198,0.866629436,0.62432096,0.37567904,0.133370564,0,0,0,0,0,11.19553232
3.164736842,2048,None,ovr,linear,10000,InstanceHardnessThreshold,0.470525923,0.433843194,0.746697055,0.866426806,0.626967303,0.373032697,0.133573194,0,0,0,0,0,11.13224999
2.113157895,2048,balanced,ovr,linear,10000,NearMiss,0.400912379,0.383094541,0.710910688,0.76733193,0.654489447,0.345510553,0.23266807,0,0,0,0,0,17.27355568
2.113157895,2048,None,ovr,linear,10000,NearMiss,0.400912379,0.383094541,0.710910688,0.76733193,0.654489447,0.345510553,0.23266807,0,0,0,0,0,17.62235514
2.638947368,2048,balanced,ovr,linear,10000,NearMiss,0.403753596,0.386249527,0.712391896,0.767330709,0.657453083,0.342546917,0.232669291,0,0,0,0,0,19.09299604
2.638947368,2048,None,ovr,linear,10000,NearMiss,0.403753596,0.386249527,0.712391896,0.767330709,0.657453083,0.342546917,0.232669291,0,0,0,0,0,19.9289093
3.164736842,2048,None,ovr,linear,10000,NearMiss,0.406444055,0.389323368,0.713776851,0.766924837,0.660628864,0.339371136,0.233075163,0,0,0,0,0,21.09469597
3.164736842,2048,balanced,ovr,linear,10000,InstanceHardnessThreshold,0.469376243,0.432569738,0.746065913,0.866223565,0.625908261,0.374091739,0.133776435,0,0,0,0,0,11.26709493
