class_weight,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,splitter,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
,gini,,auto,3,3,3,random,None,0.150386462,0.218438297,0.533916135,0.084558577,0.983273694,0.016726306,0.915441423,0.048625835,0.028465608,0.006244396,0.010473313,0.010473313
,gini,,auto,3,2,2,best,ClusterCentroids,0.204150241,0.246803269,0.569661063,0.762342458,0.376979669,0.623020331,0.237657542,0.077663646,0.123752156,0.015028979,0.042997955,0.042997955
,gini,,auto,3,2,2,random,ClusterCentroids,0.175473649,0.240162964,0.545788786,0.540786109,0.550791464,0.449208536,0.459213891,0.103128567,0.041382223,0.015878231,0.009870304,0.009870304
,gini,,auto,3,2,3,best,ClusterCentroids,0.204150241,0.246803269,0.569661063,0.762342458,0.376979669,0.623020331,0.237657542,0.077663646,0.123752156,0.015028979,0.042997955,0.042997955
,gini,,auto,3,2,3,random,ClusterCentroids,0.175473649,0.240162964,0.545788786,0.540786109,0.550791464,0.449208536,0.459213891,0.103128567,0.041382223,0.015878231,0.009870304,0.009870304
,gini,,auto,3,3,2,best,ClusterCentroids,0.204150241,0.246803269,0.569661063,0.762342458,0.376979669,0.623020331,0.237657542,0.077663646,0.123752156,0.015028979,0.042997955,0.042997955
,gini,,auto,3,2,2,best,EditedNearestNeighbours,0.169105846,0.246669939,0.558321983,0.675195459,0.441448507,0.558551493,0.324804541,0.061361653,0.063192941,0.02159504,0.005043791,0.005043791
,gini,,auto,3,2,2,random,EditedNearestNeighbours,0.162435738,0.248296529,0.549060376,0.728868138,0.369252614,0.630747386,0.271131862,0.040947847,0.042767137,0.007407912,0.004438341,0.004438341
,gini,,auto,3,3,2,random,ClusterCentroids,0.175473649,0.240162964,0.545788786,0.540786109,0.550791464,0.449208536,0.459213891,0.103128567,0.041382223,0.015878231,0.009870304,0.009870304
,gini,,auto,3,2,3,best,EditedNearestNeighbours,0.169105846,0.246669939,0.558321983,0.675195459,0.441448507,0.558551493,0.324804541,0.061361653,0.063192941,0.02159504,0.005043791,0.005043791
,gini,,auto,3,2,3,random,EditedNearestNeighbours,0.162435738,0.248296529,0.549060376,0.728868138,0.369252614,0.630747386,0.271131862,0.040947847,0.042767137,0.007407912,0.004438341,0.004438341
,gini,,auto,3,3,3,best,ClusterCentroids,0.204150241,0.246803269,0.569661063,0.762342458,0.376979669,0.623020331,0.237657542,0.077663646,0.123752156,0.015028979,0.042997955,0.042997955
,gini,,auto,3,3,2,best,EditedNearestNeighbours,0.169105846,0.246669939,0.558321983,0.675195459,0.441448507,0.558551493,0.324804541,0.061361653,0.063192941,0.02159504,0.005043791,0.005043791
,gini,,auto,3,3,3,random,ClusterCentroids,0.175473649,0.240162964,0.545788786,0.540786109,0.550791464,0.449208536,0.459213891,0.103128567,0.041382223,0.015878231,0.009870304,0.009870304
,gini,,auto,3,3,2,random,EditedNearestNeighbours,0.162435738,0.248296529,0.549060376,0.728868138,0.369252614,0.630747386,0.271131862,0.040947847,0.042767137,0.007407912,0.004438341,0.004438341
,gini,,auto,3,3,3,best,EditedNearestNeighbours,0.169105846,0.246669939,0.558321983,0.675195459,0.441448507,0.558551493,0.324804541,0.061361653,0.063192941,0.02159504,0.005043791,0.005043791
