C,class_weight,fit_intercept,intercept_scaling,solver,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
1,,FALSE,0.1,liblinear,ADASYN,0.53332406,0.157822503,0.779649961,0.843416644,0.715883278,0.284116722,0.156583356,0.565167689,0.509260857,0.080132065,0.058717691,0.058717691
1,,FALSE,1,liblinear,ADASYN,0.53332406,0.157822503,0.779649961,0.843416644,0.715883278,0.284116722,0.156583356,0.565167689,0.509260857,0.080132065,0.058717691,0.058717691
1,,FALSE,0.1,liblinear,RandomOverSampler,0.546315518,0.145371328,0.783314716,0.788925509,0.777703922,0.222296078,0.211074491,0.551849004,0.556786871,0.067219152,0.071233178,0.071233178
1,,FALSE,1.733333333,liblinear,SMOTE,0.546675883,0.145123607,0.783197633,0.785092618,0.781302647,0.218697353,0.214907382,0.558709146,0.569066377,0.069229229,0.078091489,0.078091489
1,,FALSE,1,liblinear,RandomOverSampler,0.546315518,0.145371328,0.783314716,0.788925509,0.777703922,0.222296078,0.211074491,0.551849004,0.556786871,0.067219152,0.071233178,0.071233178
1,,TRUE,5,liblinear,SMOTE,0.547136503,0.144608123,0.783241564,0.783275047,0.783208082,0.216791918,0.216724953,0.557097257,0.572453462,0.068911432,0.078292288,0.078292288
1,,FALSE,0.1,liblinear,SMOTE,0.546675883,0.145123607,0.783197633,0.785092618,0.781302647,0.218697353,0.214907382,0.558709146,0.569066377,0.069229229,0.078091489,0.078091489
1,,FALSE,1,liblinear,SMOTE,0.546675883,0.145123607,0.783197633,0.785092618,0.781302647,0.218697353,0.214907382,0.558709146,0.569066377,0.069229229,0.078091489,0.078091489
1,,FALSE,1.733333333,liblinear,SMOTEENN,0.543190791,0.138488934,0.753602651,0.602903354,0.904301949,0.095698051,0.397096646,0.469524245,0.781515465,0.036837342,0.23385822,0.23385822
1,,TRUE,5,liblinear,SMOTEENN,0.545588201,0.137234971,0.755543,0.607734749,0.90335125,0.09664875,0.392265251,0.471947878,0.790406205,0.034720435,0.232845677,0.232845677
1,,FALSE,0.1,liblinear,SMOTEENN,0.543190791,0.138488934,0.753602651,0.602903354,0.904301949,0.095698051,0.397096646,0.469524245,0.781515465,0.036837342,0.23385822,0.23385822
1,,FALSE,1,liblinear,SMOTEENN,0.543190791,0.138488934,0.753602651,0.602903354,0.904301949,0.095698051,0.397096646,0.469524245,0.781515465,0.036837342,0.23385822,0.23385822
1,,FALSE,1.733333333,liblinear,SMOTETomek,0.54657569,0.144032259,0.782145565,0.774203058,0.790088071,0.209911929,0.225796942,0.554672404,0.581874143,0.066582885,0.084552473,0.084552473
1,,TRUE,5,liblinear,SMOTETomek,0.546636098,0.143480729,0.782150269,0.773999817,0.790300721,0.209699279,0.226000183,0.554677286,0.585789992,0.066265762,0.084954072,0.084954072
1,,FALSE,3.366666667,liblinear,None,0.542909041,0.134249117,0.75179676,0.594417285,0.909176235,0.090823765,0.405582715,0.42432604,0.725518964,0.024241384,0.164852757,0.164852757
1,,FALSE,5,liblinear,None,0.542909041,0.134249117,0.75179676,0.594417285,0.909176235,0.090823765,0.405582715,0.42432604,0.725518964,0.024241384,0.164852757,0.164852757
1,,FALSE,0.1,liblinear,SMOTETomek,0.54657569,0.144032259,0.782145565,0.774203058,0.790088071,0.209911929,0.225796942,0.554672404,0.581874143,0.066582885,0.084552473,0.084552473
1,,FALSE,1,liblinear,SMOTETomek,0.54657569,0.144032259,0.782145565,0.774203058,0.790088071,0.209911929,0.225796942,0.554672404,0.581874143,0.066582885,0.084552473,0.084552473
1,balanced,TRUE,1,liblinear,None,0.546334359,0.146221692,0.78389459,0.795587903,0.772201277,0.227798723,0.204412097,0.548221185,0.543555656,0.06573481,0.067804327,0.067804327
1,balanced,TRUE,0.1,liblinear,None,0.54479535,0.14660181,0.783121453,0.794782874,0.771460031,0.228539969,0.205217126,0.548625225,0.54038038,0.066581708,0.067198877,0.067198877
1,,FALSE,3.366666667,liblinear,ClusterCentroids,0.449219484,0.192724622,0.73454722,0.867429583,0.601664858,0.398335142,0.132570417,0.666872349,0.424257535,0.198584467,0.05226464,0.05226464
1,,FALSE,5,liblinear,ClusterCentroids,0.449219484,0.192724622,0.73454722,0.867429583,0.601664858,0.398335142,0.132570417,0.666872349,0.424257535,0.198584467,0.05226464,0.05226464
1,balanced,TRUE,1,liblinear,ClusterCentroids,0.451966757,0.19249277,0.735955531,0.870456834,0.601454227,0.398545773,0.129543166,0.668887668,0.424890437,0.198054862,0.05246544,0.05246544
1,,FALSE,3.366666667,liblinear,EditedNearestNeighbours,0.484803131,0.202343535,0.753757615,0.876526595,0.630988636,0.369011364,0.123473405,0.810324392,0.489781714,0.267599028,0.059121731,0.059121731
1,balanced,TRUE,0.1,liblinear,ClusterCentroids,0.449808032,0.192706829,0.734855145,0.867833623,0.601876667,0.398123333,0.132166377,0.667477799,0.424363355,0.198478647,0.05206262,0.05206262
1,,FALSE,5,liblinear,EditedNearestNeighbours,0.484803131,0.202343535,0.753757615,0.876526595,0.630988636,0.369011364,0.123473405,0.810324392,0.489781714,0.267599028,0.059121731,0.059121731
1,balanced,TRUE,1,liblinear,EditedNearestNeighbours,0.48467528,0.200447963,0.75419664,0.869254478,0.639138803,0.360861197,0.130745522,0.802853917,0.497405136,0.260716347,0.061545363,0.061545363
1,balanced,TRUE,0.1,liblinear,EditedNearestNeighbours,0.485665668,0.199968215,0.754726046,0.869255089,0.640197004,0.359802996,0.130744911,0.802854527,0.49782808,0.260293234,0.061343343,0.061343343
1,,FALSE,3.366666667,liblinear,InstanceHardnessThreshold,0.463791892,0.227494659,0.742532308,0.872279899,0.612784717,0.387215283,0.127720101,0.826465867,0.555087861,0.309941706,0.105929384,0.105929384
1,,FALSE,5,liblinear,InstanceHardnessThreshold,0.463791892,0.227494659,0.742532308,0.872279899,0.612784717,0.387215283,0.127720101,0.826465867,0.555087861,0.309941706,0.105929384,0.105929384
1,,FALSE,3.366666667,liblinear,NearMiss,0.424588205,0.209483495,0.722744547,0.759667979,0.685821115,0.314178885,0.240332021,0.521177943,0.532969272,0.176251209,0.113390094,0.113390094
1,balanced,TRUE,1,liblinear,InstanceHardnessThreshold,0.460066173,0.232077577,0.740399919,0.872883518,0.60791632,0.39208368,0.127116482,0.827272117,0.551174872,0.316292932,0.104517684,0.104517684
1,,FALSE,5,liblinear,NearMiss,0.424588205,0.209483495,0.722744547,0.759667979,0.685821115,0.314178885,0.240332021,0.521177943,0.532969272,0.176251209,0.113390094,0.113390094
1,balanced,TRUE,0.1,liblinear,InstanceHardnessThreshold,0.463805553,0.227696488,0.742527277,0.872481309,0.612573246,0.387426754,0.127518691,0.826465867,0.554452604,0.310153683,0.105727364,0.105727364
1,balanced,TRUE,1,liblinear,NearMiss,0.401309178,0.225330095,0.710944936,0.763907351,0.65798252,0.34201748,0.236092649,0.528036864,0.502803139,0.203982638,0.111371723,0.111371723
1,balanced,TRUE,0.1,liblinear,NearMiss,0.424228039,0.210014867,0.722575945,0.760072019,0.68507987,0.31492013,0.239927981,0.521581373,0.532016891,0.176886466,0.113188684,0.113188684
1,,FALSE,3.366666667,liblinear,NeighbourhoodCleaningRule,0.505228266,0.179787665,0.765662359,0.85270408,0.678620637,0.321379363,0.14729592,0.714472215,0.522067782,0.190644258,0.063564955,0.063564955
1,,FALSE,5,liblinear,NeighbourhoodCleaningRule,0.505228266,0.179787665,0.765662359,0.85270408,0.678620637,0.321379363,0.14729592,0.714472215,0.522067782,0.190644258,0.063564955,0.063564955
